seqnames,start,end,width,strand,Conc,Conc_Yng,Conc_Old,Fold,p.value,FDR
chr12,3855489,3856634,1146,*,9.3,9.47,9.11,0.36,0.00261,0.027
chr10,95562980,95564765,1786,*,9.34,9.5,9.16,0.34,0.00261,0.027
chr2,113327009,113328189,1181,*,9.18,9.35,8.98,0.37,0.00261,0.027
chr1,39576248,39577778,1531,*,9.34,9.51,9.15,0.36,0.00261,0.027
chr13,84347876,84349755,1880,*,9.61,9.76,9.44,0.32,0.00262,0.027
chr1,79775625,79776589,965,*,8.5,8.71,8.25,0.47,0.00262,0.027
chr9,37432752,37434600,1849,*,9.1,9.3,8.87,0.43,0.00262,0.027
chr5,104459144,104460689,1546,*,8.76,8.96,8.53,0.43,0.00262,0.0271
chr10,5603297,5604199,903,*,8.03,8.27,7.73,0.55,0.00262,0.0271
chr19,14484999,14485959,961,*,7.9,8.16,7.59,0.57,0.00263,0.0271
chr9,98563102,98564305,1204,*,9.12,9.3,8.92,0.37,0.00263,0.0271
chr13,49242077,49243748,1672,*,9.28,9.44,9.09,0.35,0.00263,0.0271
chr3,135211782,135213309,1528,*,9.03,9.21,8.82,0.39,0.00263,0.0271
chr2,10079678,10081077,1400,*,9.26,9.43,9.07,0.36,0.00263,0.0271
chr1,176835319,176836816,1498,*,7.61,7.9,7.24,0.66,0.00263,0.0271
chr6,97015916,97016582,667,*,8.26,8.48,7.99,0.49,0.00263,0.0271
chr3,8923089,8924377,1289,*,9.58,9.73,9.4,0.34,0.00263,0.0271
chr2,25210802,25211812,1011,*,8.27,8.49,8,0.49,0.00263,0.0271
chr2,66043501,66045330,1830,*,7.97,8.26,7.61,0.65,0.00264,0.0271
chr2,94436926,94438515,1590,*,9.43,9.59,9.25,0.34,0.00264,0.0271
chr14,99099146,99100572,1427,*,9.43,9.59,9.25,0.34,0.00264,0.0272
chr17,72835863,72838052,2190,*,10.44,10.56,10.3,0.26,0.00266,0.0273
chr3,97296968,97298659,1692,*,8.7,8.9,8.46,0.43,0.00266,0.0273
chr14,118709412,118710416,1005,*,8.48,8.69,8.24,0.46,0.00267,0.0274
chrX,50605011,50605903,893,*,8.24,8.47,7.97,0.5,0.00267,0.0274
chr15,12739281,12740935,1655,*,9.16,9.34,8.96,0.38,0.00267,0.0274
chr4,97776849,97779198,2350,*,9.31,9.48,9.13,0.35,0.00267,0.0274
chr16,77643622,77645213,1592,*,8.55,8.75,8.31,0.44,0.00267,0.0274
chr5,4756237,4758802,2566,*,9.89,10.05,9.72,0.33,0.00267,0.0274
chr13,60672885,60673587,703,*,8.12,8.39,7.78,0.62,0.00267,0.0274
chr3,152980524,152981576,1053,*,7.87,8.13,7.56,0.57,0.00268,0.0274
chr7,12802949,12804205,1257,*,8.79,8.98,8.57,0.41,0.00268,0.0274
chr11,65806382,65807807,1426,*,9.26,9.43,9.06,0.36,0.00268,0.0274
chr2,180023982,180025901,1920,*,9.63,9.77,9.46,0.31,0.00268,0.0274
chr4,93481055,93481994,940,*,8.71,8.91,8.48,0.43,0.00268,0.0274
chr3,79591089,79592585,1497,*,8.75,8.94,8.53,0.41,0.00268,0.0274
chr13,5778263,5780087,1825,*,8.66,8.86,8.43,0.43,0.00269,0.0274
chr18,39488908,39491898,2991,*,10.84,10.96,10.7,0.25,0.00269,0.0274
chr11,30985833,30987117,1285,*,9.03,9.21,8.83,0.39,0.00269,0.0274
chr4,108832922,108835012,2091,*,9.72,9.86,9.57,0.3,0.00269,0.0274
chr1,40680167,40682419,2253,*,9.25,9.42,9.06,0.36,0.00269,0.0274
chr15,89075278,89076686,1409,*,9.04,9.22,8.84,0.38,0.00269,0.0274
chr11,24076032,24078228,2197,*,10.25,10.38,10.12,0.26,0.0027,0.0274
chr19,8837042,8838166,1125,*,8.58,8.78,8.34,0.45,0.0027,0.0274
chr3,116507274,116508523,1250,*,9.04,9.22,8.84,0.38,0.0027,0.0274
chr1,167598015,167599087,1073,*,7.69,7.97,7.36,0.61,0.0027,0.0274
chr14,21847140,21849126,1987,*,9.33,9.5,9.15,0.35,0.0027,0.0274
chr2,49312486,49313581,1096,*,8.48,8.69,8.24,0.45,0.0027,0.0275
chr11,44203740,44205104,1365,*,8.04,8.29,7.74,0.55,0.0027,0.0275
chrX,38563796,38565428,1633,*,9.59,9.73,9.42,0.31,0.0027,0.0275
chr7,27472636,27475143,2508,*,10.36,10.48,10.23,0.26,0.00271,0.0275
chr3,154327642,154328769,1128,*,8.08,8.32,7.79,0.53,0.00271,0.0275
chr3,9499385,9500424,1040,*,8.23,8.45,7.96,0.5,0.00271,0.0275
chr4,148590667,148592592,1926,*,9.46,9.61,9.28,0.33,0.00271,0.0275
chr7,90456511,90457860,1350,*,9.11,9.28,8.92,0.36,0.00271,0.0275
chr10,26771890,26773490,1601,*,9.41,9.57,9.24,0.33,0.00272,0.0275
chr5,146844357,146846010,1654,*,8.82,9.01,8.6,0.41,0.00272,0.0275
chrX,16617945,16620090,2146,*,9.71,9.85,9.55,0.3,0.00272,0.0275
chr10,40882514,40884800,2287,*,9.38,9.53,9.2,0.34,0.00272,0.0276
chr13,70637155,70638555,1401,*,9.67,9.82,9.51,0.32,0.00272,0.0276
chr2,52674809,52676767,1959,*,8.59,8.81,8.34,0.47,0.00273,0.0276
chr17,74338198,74339780,1583,*,9.7,9.85,9.54,0.31,0.00273,0.0276
chrX,77508984,77512224,3241,*,10.2,10.33,10.06,0.27,0.00273,0.0276
chr3,116251402,116252819,1418,*,8.42,8.64,8.16,0.48,0.00273,0.0276
chr2,112265310,112266533,1224,*,9.47,9.63,9.3,0.32,0.00273,0.0276
chr12,111071076,111072469,1394,*,8.42,8.63,8.17,0.46,0.00273,0.0276
chr7,27446351,27448398,2048,*,9.73,9.88,9.57,0.31,0.00274,0.0276
chr10,111472728,111474307,1580,*,9.63,9.79,9.46,0.33,0.00274,0.0277
chr7,63924851,63926214,1364,*,9.46,9.62,9.27,0.35,0.00274,0.0277
chr8,11554887,11556845,1959,*,10.36,10.49,10.22,0.27,0.00274,0.0277
chr6,83455290,83457368,2079,*,9.74,9.88,9.58,0.29,0.00275,0.0277
chr2,168954587,168956192,1606,*,9.42,9.58,9.23,0.35,0.00275,0.0278
chr2,181863849,181865041,1193,*,8.9,9.09,8.69,0.39,0.00275,0.0278
chr4,28814936,28815804,869,*,8.4,8.61,8.15,0.46,0.00276,0.0278
chr2,158624541,158625684,1144,*,8.9,9.08,8.69,0.39,0.00276,0.0278
chr5,90223302,90224561,1260,*,9.6,9.75,9.43,0.32,0.00276,0.0278
chr18,65000386,65001794,1409,*,7.5,7.8,7.11,0.69,0.00276,0.0278
chr3,59260709,59261175,467,*,7.34,7.65,6.94,0.71,0.00277,0.0278
chr12,18609555,18611277,1723,*,9.06,9.24,8.85,0.39,0.00277,0.0278
chr5,64229735,64231209,1475,*,9.27,9.43,9.08,0.35,0.00277,0.0278
chr8,107047979,107049143,1165,*,8.67,8.87,8.45,0.42,0.00277,0.0278
chr16,16870416,16871774,1359,*,8.76,8.95,8.54,0.41,0.00277,0.0278
chr7,34167753,34169000,1248,*,8.66,8.85,8.43,0.42,0.00277,0.0278
chr4,5643649,5645054,1406,*,9.1,9.27,8.91,0.36,0.00277,0.0278
chr14,34768319,34770049,1731,*,8.93,9.11,8.72,0.39,0.00277,0.0278
chr11,32454419,32456188,1770,*,9.72,9.88,9.56,0.32,0.00277,0.0278
chr1,165717319,165719017,1699,*,8.66,8.86,8.43,0.43,0.00278,0.0278
chr6,121077017,121077647,631,*,7.4,7.71,7,0.71,0.00278,0.0278
chr9,82829293,82830582,1290,*,8.96,9.13,8.75,0.38,0.00278,0.0278
chr7,13277972,13279537,1566,*,9.22,9.39,9.03,0.36,0.00278,0.0278
chr19,17223318,17224566,1249,*,7.64,7.92,7.29,0.64,0.00278,0.0278
chr9,37145180,37147695,2516,*,9.27,9.44,9.08,0.36,0.00278,0.0278
chr4,94602468,94603775,1308,*,9.38,9.53,9.2,0.34,0.00278,0.0278
chr6,133104727,133106083,1357,*,9.38,9.54,9.2,0.35,0.00278,0.0278
chr1,40789948,40791160,1213,*,8.74,8.93,8.51,0.42,0.00278,0.0278
chr1,175691832,175693872,2041,*,10.07,10.2,9.91,0.29,0.0028,0.0279
chr6,115764057,115764642,586,*,8.12,8.35,7.84,0.51,0.0028,0.0279
chr7,92180330,92181612,1283,*,7.84,8.1,7.53,0.57,0.0028,0.0279
chr19,14585234,14586641,1408,*,7.84,8.1,7.52,0.59,0.0028,0.028
chr7,13034247,13035201,955,*,9.07,9.25,8.88,0.37,0.0028,0.028
chr14,25606320,25608412,2093,*,9.33,9.49,9.14,0.36,0.0028,0.028
chr1,151427492,151429561,2070,*,9.83,9.98,9.67,0.31,0.0028,0.028
chr4,128654150,128655757,1608,*,9.15,9.32,8.96,0.36,0.00281,0.028
chr16,57166498,57167836,1339,*,9.17,9.34,8.98,0.35,0.00281,0.028
chr2,151979519,151980651,1133,*,8.72,8.92,8.49,0.43,0.00281,0.028
chr3,31056066,31057705,1640,*,9.33,9.49,9.15,0.34,0.00281,0.028
chr2,151542046,151543199,1154,*,8.99,9.17,8.78,0.39,0.00281,0.028
chr1,186704992,186706213,1222,*,8.03,8.27,7.74,0.54,0.00281,0.028
chrX,151520049,151521536,1488,*,9.61,9.76,9.45,0.31,0.00282,0.028
chr4,41464360,41465574,1215,*,9.32,9.48,9.13,0.35,0.00282,0.0281
chr4,106560347,106562264,1918,*,9.11,9.29,8.91,0.38,0.00282,0.0281
chr9,75409041,75410529,1489,*,9.74,9.88,9.58,0.3,0.00282,0.0281
chr17,56074399,56075346,948,*,9.14,9.31,8.95,0.36,0.00283,0.0281
chr10,19008358,19009669,1312,*,7.61,7.24,7.91,-0.66,0.00283,0.0281
chr1,149939441,149941152,1712,*,9.09,9.29,8.87,0.42,0.00283,0.0281
chr14,50930404,50931745,1342,*,9.66,9.8,9.5,0.3,0.00283,0.0281
chrX,50840900,50842043,1144,*,8.91,9.1,8.7,0.39,0.00283,0.0281
chr2,92459088,92460770,1683,*,8.88,9.07,8.66,0.41,0.00285,0.0282
chr6,137734318,137735932,1615,*,9.6,9.75,9.43,0.31,0.00286,0.0283
chr9,96888622,96890074,1453,*,9.28,9.44,9.1,0.34,0.00286,0.0284
chr1,189933377,189934251,875,*,8.7,8.91,8.47,0.44,0.00287,0.0284
chr1,171410771,171412784,2014,*,9.36,9.52,9.19,0.33,0.00287,0.0284
chr12,30583812,30585223,1412,*,9.06,9.23,8.86,0.37,0.00287,0.0284
chr7,104169557,104170655,1099,*,9.03,9.21,8.83,0.37,0.00287,0.0284
chr3,68869066,68870931,1866,*,8.66,8.87,8.42,0.45,0.00288,0.0285
chr10,77416968,77418665,1698,*,9.19,9.37,8.98,0.38,0.00288,0.0285
chr6,134926811,134929349,2539,*,10.04,10.16,9.9,0.27,0.00288,0.0285
chr19,38053589,38055432,1844,*,9.61,9.75,9.44,0.31,0.00288,0.0285
chr6,135218101,135219039,939,*,7.54,7.84,7.15,0.69,0.00288,0.0285
chr17,15526713,15527834,1122,*,8.89,9.07,8.69,0.39,0.00289,0.0285
chr16,87439852,87440827,976,*,8.71,8.91,8.49,0.41,0.00289,0.0285
chr10,128524388,128526624,2237,*,10.02,10.15,9.87,0.28,0.00289,0.0285
chr5,106695578,106697099,1522,*,9.66,9.81,9.5,0.31,0.0029,0.0286
chr1,127773419,127774862,1444,*,9.59,9.74,9.42,0.32,0.0029,0.0286
chr12,9579275,9580835,1561,*,7.72,8,7.37,0.63,0.00291,0.0286
chr6,126939009,126940919,1911,*,9.04,9.22,8.84,0.37,0.00291,0.0286
chr18,38600133,38601992,1860,*,9.23,9.39,9.05,0.35,0.00291,0.0286
chr9,104001923,104003474,1552,*,9.82,9.97,9.66,0.31,0.00291,0.0286
chr8,94097873,94098964,1092,*,9.15,9.33,8.95,0.38,0.00291,0.0286
chr3,61002008,61003741,1734,*,9.35,9.51,9.18,0.34,0.00291,0.0286
chr18,15207698,15209446,1749,*,9.08,9.25,8.88,0.38,0.00291,0.0286
chr17,74394762,74396039,1278,*,8.74,8.93,8.52,0.41,0.00291,0.0286
chr6,128361943,128363416,1474,*,8.91,9.09,8.71,0.39,0.00292,0.0286
chr1,175524614,175525278,665,*,7.42,7.72,7.04,0.68,0.00292,0.0286
chr14,122063605,122065011,1407,*,8.32,8.54,8.05,0.49,0.00292,0.0286
chr16,4003199,4004484,1286,*,8.95,9.12,8.74,0.38,0.00292,0.0286
chrX,98291574,98292421,848,*,7.27,7.6,6.85,0.75,0.00292,0.0286
chr5,96996852,96998711,1860,*,9.85,9.99,9.69,0.3,0.00292,0.0286
chr13,64369488,64371066,1579,*,9.27,9.43,9.08,0.35,0.00292,0.0286
chr4,149856022,149856891,870,*,7.9,8.15,7.6,0.55,0.00292,0.0286
chr16,49799605,49800915,1311,*,9.4,9.55,9.22,0.33,0.00292,0.0286
chr1,80758085,80759040,956,*,8.61,8.81,8.38,0.43,0.00292,0.0286
chr14,25486837,25487566,730,*,7.42,7.72,7.04,0.68,0.00293,0.0286
chr5,134236586,134237473,888,*,8.22,8.44,7.94,0.5,0.00293,0.0286
chr7,4492702,4493435,734,*,8.12,8.36,7.84,0.51,0.00293,0.0286
chr7,6154897,6156900,2004,*,9.73,9.88,9.57,0.32,0.00293,0.0286
chr10,30199539,30200927,1389,*,9.2,9.37,9.02,0.35,0.00293,0.0286
chr11,29514179,29515516,1338,*,9.06,9.24,8.86,0.38,0.00293,0.0286
chr12,95693238,95694438,1201,*,8.23,8.46,7.96,0.5,0.00293,0.0287
chr14,33521275,33522088,814,*,7.26,7.58,6.86,0.72,0.00294,0.0287
chr11,50291301,50292920,1620,*,9.35,9.51,9.18,0.33,0.00294,0.0287
chr15,25363841,25364944,1104,*,7.78,8.04,7.46,0.58,0.00294,0.0287
chr9,82974034,82976346,2313,*,10.3,10.42,10.16,0.26,0.00294,0.0287
chr10,67911559,67912854,1296,*,8.27,8.51,8,0.5,0.00294,0.0287
chr4,63544202,63545553,1352,*,9.07,9.24,8.87,0.37,0.00294,0.0287
chr10,10556612,10558624,2013,*,9.27,9.44,9.08,0.36,0.00295,0.0287
chr19,8774049,8775390,1342,*,8.94,9.12,8.74,0.38,0.00295,0.0287
chr6,45271341,45272388,1048,*,8.82,9,8.6,0.4,0.00295,0.0287
chr2,148671969,148673421,1453,*,9.39,9.54,9.21,0.33,0.00295,0.0287
chr13,13783738,13785899,2162,*,9.18,9.35,8.99,0.36,0.00295,0.0287
chr12,8344603,8345618,1016,*,8.81,9,8.59,0.41,0.00295,0.0287
chr7,28375349,28376693,1345,*,9.65,9.81,9.47,0.34,0.00295,0.0287
chr5,111553332,111554410,1079,*,8.27,8.5,8,0.5,0.00296,0.0288
chr11,90417550,90418427,878,*,8.52,8.73,8.27,0.46,0.00296,0.0288
chr13,104177828,104179511,1684,*,9.27,9.44,9.08,0.37,0.00296,0.0288
chr7,83891494,83892738,1245,*,9.67,9.82,9.5,0.31,0.00296,0.0288
chr1,175624819,175626376,1558,*,9.56,9.72,9.39,0.33,0.00296,0.0288
chr10,81182363,81183412,1050,*,9.12,9.3,8.93,0.37,0.00296,0.0288
chr5,52475876,52477051,1176,*,9,9.17,8.8,0.37,0.00297,0.0288
chr16,91789499,91790490,992,*,9.02,9.19,8.82,0.37,0.00297,0.0288
chr4,15957597,15959100,1504,*,9.44,9.59,9.27,0.32,0.00297,0.0288
chr6,122485455,122487102,1648,*,8.4,8.63,8.13,0.5,0.00297,0.0288
chr7,66108827,66110989,2163,*,9.5,9.66,9.31,0.34,0.00298,0.0289
chr6,142963963,142965607,1645,*,8.24,8.47,7.98,0.49,0.00298,0.0289
chr11,5828584,5829934,1351,*,8.39,8.61,8.14,0.47,0.00299,0.0289
chr2,83723777,83725380,1604,*,9.53,9.69,9.36,0.33,0.00299,0.0289
chr17,66123113,66124510,1398,*,8.79,8.98,8.58,0.4,0.00299,0.0289
chr2,79634685,79636518,1834,*,10.03,10.16,9.88,0.28,0.00299,0.0289
chr1,16687858,16689258,1401,*,9.05,9.22,8.86,0.36,0.00299,0.0289
chr11,72487105,72487811,707,*,8.01,8.26,7.71,0.55,0.00299,0.0289
chr12,113217407,113218192,786,*,7.99,8.23,7.69,0.54,0.00299,0.0289
chr5,21784194,21785511,1318,*,9.02,9.2,8.83,0.37,0.003,0.0289
chr2,18671755,18673068,1314,*,9.27,9.44,9.08,0.36,0.003,0.0289
chr5,35757110,35758775,1666,*,9.14,9.32,8.94,0.38,0.003,0.0289
chr5,3927727,3929094,1368,*,9.2,9.37,9.02,0.35,0.003,0.029
chr5,151650386,151651685,1300,*,9.14,9.31,8.95,0.36,0.003,0.029
chr3,152477637,152479483,1847,*,9.38,9.54,9.2,0.34,0.00301,0.029
chr19,57609797,57612268,2472,*,9.45,9.6,9.27,0.33,0.00301,0.029
chr18,75366374,75368082,1709,*,9.85,9.99,9.69,0.3,0.00301,0.029
chr7,88429747,88431109,1363,*,9.14,9.32,8.93,0.39,0.00302,0.0291
chrX,101732828,101734453,1626,*,8.86,9.05,8.65,0.4,0.00302,0.0291
chr15,36780363,36782480,2118,*,8.72,8.95,8.44,0.51,0.00302,0.0291
chr3,103801609,103802595,987,*,8.51,8.72,8.27,0.45,0.00302,0.0291
chr19,40659464,40661456,1993,*,8.39,8.62,8.11,0.51,0.00302,0.0291
chr9,15305733,15306838,1106,*,8.99,9.16,8.78,0.38,0.00303,0.0291
chr1,186703423,186704738,1316,*,7.53,7.82,7.17,0.65,0.00303,0.0291
chr3,60500695,60502028,1334,*,9.88,10.02,9.73,0.29,0.00303,0.0291
chr18,74207160,74208369,1210,*,8.51,8.71,8.27,0.44,0.00303,0.0291
chr2,180455717,180457070,1354,*,9.11,9.28,8.92,0.36,0.00303,0.0291
chr2,145674464,145676366,1903,*,8.88,9.06,8.67,0.39,0.00304,0.0291
chr9,37459876,37460897,1022,*,7.9,8.15,7.6,0.56,0.00304,0.0292
chr16,17796590,17798637,2048,*,8.02,8.28,7.71,0.57,0.00304,0.0292
chr12,28649162,28650355,1194,*,8.68,8.87,8.46,0.42,0.00305,0.0292
chr4,40269283,40270131,849,*,8.9,9.09,8.69,0.4,0.00305,0.0292
chr7,64073438,64075644,2207,*,7.53,7.81,7.17,0.64,0.00305,0.0292
chr2,69205457,69206778,1322,*,8.92,9.1,8.71,0.39,0.00305,0.0292
chr7,91544292,91545340,1049,*,8.4,8.62,8.16,0.46,0.00306,0.0292
chr16,3982067,3982776,710,*,7.31,7.63,6.88,0.75,0.00306,0.0292
chr1,131526345,131528351,2007,*,10.26,10.39,10.12,0.27,0.00306,0.0292
chr15,11994874,11996331,1458,*,9.39,9.54,9.21,0.33,0.00306,0.0292
chr6,91472782,91474300,1519,*,9.46,9.62,9.28,0.34,0.00306,0.0292
chr13,116711309,116712696,1388,*,8.76,8.95,8.54,0.41,0.00306,0.0292
chr12,110498520,110499890,1371,*,8.13,8.36,7.85,0.51,0.00306,0.0293
chr14,104521508,104523264,1757,*,8.92,9.1,8.72,0.38,0.00306,0.0293
chr9,120960398,120961047,650,*,7.57,7.89,7.17,0.72,0.00307,0.0293
chr7,38106737,38108587,1851,*,9.77,9.91,9.62,0.29,0.00307,0.0293
chr19,41206084,41207398,1315,*,7.85,8.12,7.52,0.61,0.00307,0.0293
chr5,92082778,92084285,1508,*,9.71,9.85,9.55,0.31,0.00307,0.0293
chr5,150176437,150177117,681,*,7.44,7.75,7.06,0.69,0.00308,0.0294
chr13,21782880,21783533,654,*,8.07,8.31,7.79,0.52,0.00308,0.0294
chr17,48408603,48410778,2176,*,10.39,10.52,10.25,0.26,0.00308,0.0294
chr10,71284375,71285608,1234,*,8.77,8.96,8.54,0.42,0.00308,0.0294
chr18,35849314,35850612,1299,*,9.35,9.5,9.17,0.34,0.00309,0.0294
chr10,96616229,96618600,2372,*,10.43,10.56,10.29,0.26,0.00309,0.0294
chr14,48130917,48132040,1124,*,7.69,7.96,7.35,0.61,0.0031,0.0295
chr9,37207488,37208891,1404,*,9.34,9.5,9.17,0.33,0.0031,0.0295
chr3,121369331,121370775,1445,*,9.21,9.39,9,0.39,0.0031,0.0295
chr5,125404891,125406826,1936,*,8.73,8.93,8.5,0.43,0.0031,0.0295
chr7,39552038,39553278,1241,*,9.43,9.59,9.26,0.33,0.00311,0.0295
chr6,124828686,124830429,1744,*,10.15,10.28,10.01,0.27,0.00311,0.0295
chr6,142756377,142758210,1834,*,10.07,10.21,9.93,0.28,0.00311,0.0295
chr18,25486352,25487936,1585,*,9.23,9.39,9.04,0.35,0.00311,0.0295
chr17,10317826,10320515,2690,*,10.27,10.4,10.13,0.28,0.00311,0.0295
chr5,110269129,110270165,1037,*,8.48,8.68,8.24,0.44,0.00311,0.0295
chr3,53040903,53042463,1561,*,8.58,8.79,8.33,0.46,0.00311,0.0295
chr14,118635156,118636335,1180,*,8.38,8.59,8.13,0.46,0.00311,0.0295
chr14,75844359,75846078,1720,*,9.94,10.08,9.79,0.29,0.00311,0.0295
chr2,103760579,103761874,1296,*,9,9.17,8.79,0.38,0.00311,0.0295
chr5,9160697,9162406,1710,*,9.71,9.85,9.54,0.31,0.00311,0.0295
chr6,40324851,40326068,1218,*,8.42,8.64,8.17,0.47,0.00312,0.0295
chr10,34249184,34250210,1027,*,7.51,7.85,7.05,0.8,0.00312,0.0295
chr3,82073579,82075112,1534,*,8.96,9.14,8.74,0.4,0.00312,0.0296
chr15,25773661,25774840,1180,*,8.47,8.68,8.23,0.45,0.00313,0.0296
chr13,95890857,95892993,2137,*,9.87,10,9.72,0.28,0.00313,0.0296
chr2,144270051,144271316,1266,*,9.55,9.69,9.38,0.31,0.00313,0.0296
chr8,22652704,22653960,1257,*,8.68,8.87,8.45,0.41,0.00313,0.0296
chr13,17992719,17993778,1060,*,8.6,8.8,8.37,0.44,0.00313,0.0296
chr2,3423651,3424741,1091,*,9.17,9.33,8.98,0.35,0.00313,0.0296
chr9,77543260,77545596,2337,*,9.3,9.47,9.12,0.35,0.00313,0.0296
chr3,40846224,40847591,1368,*,9.18,9.34,8.99,0.35,0.00313,0.0296
chr8,78254331,78255101,771,*,8.21,8.44,7.95,0.49,0.00314,0.0296
chr6,70955653,70957523,1871,*,8.27,8.5,8,0.5,0.00314,0.0296
chr7,12977517,12978844,1328,*,9.83,9.97,9.67,0.3,0.00314,0.0296
chr8,22701263,22701807,545,*,7.5,7.8,7.12,0.67,0.00314,0.0296
chr10,58382793,58383977,1185,*,8.47,8.68,8.23,0.44,0.00314,0.0296
chr3,51661771,51663756,1986,*,8.31,8.53,8.05,0.47,0.00314,0.0296
chr7,19265507,19266619,1113,*,8.45,8.66,8.2,0.46,0.00314,0.0296
chrX,48623089,48624275,1187,*,8.48,8.69,8.24,0.45,0.00315,0.0296
chr16,84702560,84703750,1191,*,9.24,9.4,9.06,0.34,0.00315,0.0296
chr17,13007463,13008789,1327,*,9.51,9.66,9.34,0.32,0.00316,0.0297
chr1,118310698,118312225,1528,*,9.06,9.23,8.86,0.37,0.00316,0.0297
chr13,45903504,45905252,1749,*,8.89,9.08,8.68,0.39,0.00316,0.0297
chr3,97766932,97768605,1674,*,9.27,9.44,9.08,0.36,0.00316,0.0297
chr3,132683424,132684778,1355,*,9.21,9.38,9.03,0.35,0.00317,0.0297
chr2,160741317,160742576,1260,*,8.08,8.32,7.79,0.53,0.00317,0.0297
chr2,158794203,158795386,1184,*,8.71,8.9,8.48,0.42,0.00317,0.0298
chr15,44747796,44749121,1326,*,9.02,9.21,8.8,0.41,0.00318,0.0298
chr10,76961519,76962492,974,*,9.12,9.29,8.93,0.36,0.00318,0.0298
chr11,94209767,94212097,2331,*,10.28,10.4,10.14,0.26,0.00318,0.0298
chr17,57030873,57032507,1635,*,10.29,10.42,10.16,0.27,0.00319,0.0299
chr4,149737198,149738481,1284,*,9.06,9.23,8.85,0.38,0.00319,0.0299
chr6,58640039,58641132,1094,*,9.02,9.19,8.82,0.37,0.00319,0.0299
chr5,43781325,43782819,1495,*,9.41,9.57,9.22,0.35,0.0032,0.0299
chr11,72488688,72489273,586,*,7.81,8.07,7.5,0.57,0.0032,0.03
chr14,105258109,105259592,1484,*,9.46,9.62,9.29,0.33,0.0032,0.03
chr3,31902137,31903832,1696,*,7.96,8.21,7.66,0.55,0.00321,0.03
chr16,11253019,11254922,1904,*,9.86,10,9.72,0.28,0.00321,0.03
chr10,118867832,118870646,2815,*,10.02,10.16,9.86,0.3,0.00321,0.03
chr17,23699388,23700610,1223,*,8.77,8.96,8.56,0.4,0.00321,0.03
chr14,60736242,60737198,957,*,8.85,9.04,8.64,0.4,0.00321,0.03
chr9,98985927,98987348,1422,*,9.11,9.28,8.92,0.36,0.00321,0.03
chr18,23996477,23997541,1065,*,7.95,8.23,7.61,0.62,0.00321,0.03
chr4,19893845,19896124,2280,*,8.97,9.14,8.76,0.38,0.00321,0.03
chr8,116504141,116505376,1236,*,8.27,8.5,8,0.49,0.00322,0.03
chr8,117282109,117282891,783,*,8.03,8.27,7.75,0.52,0.00322,0.03
chr13,9173236,9173946,711,*,7.57,7.86,7.22,0.64,0.00322,0.03
chr10,89344155,89345912,1758,*,8.02,8.28,7.7,0.58,0.00322,0.03
chr2,161177058,161178273,1216,*,7.95,8.2,7.65,0.55,0.00322,0.03
chr4,48278720,48280412,1693,*,9.57,9.72,9.4,0.32,0.00322,0.03
chr17,56764441,56765465,1025,*,9.03,9.21,8.83,0.38,0.00322,0.03
chr1,97580252,97581129,878,*,8.26,8.48,8,0.49,0.00322,0.03
chr8,90976654,90977592,939,*,7.9,8.16,7.59,0.56,0.00322,0.03
chr2,120499304,120500713,1410,*,8.66,8.85,8.43,0.42,0.00323,0.03
chr15,27937074,27938238,1165,*,7.82,8.09,7.49,0.6,0.00323,0.03
chr17,84626151,84627247,1097,*,8.31,8.53,8.05,0.48,0.00323,0.03
chr19,10709257,10710445,1189,*,9.03,9.2,8.83,0.37,0.00323,0.03
chr13,22042396,22044394,1999,*,9.54,9.7,9.35,0.34,0.00323,0.03
chr8,44937102,44938753,1652,*,8.87,9.08,8.63,0.45,0.00323,0.03
chr7,19319658,19320570,913,*,8.93,9.12,8.72,0.4,0.00324,0.0301
chr3,52101637,52103482,1846,*,9.94,10.07,9.79,0.28,0.00324,0.0301
chr13,119689749,119691362,1614,*,9.82,9.97,9.65,0.31,0.00324,0.0301
chr9,20651400,20652511,1112,*,9.53,9.69,9.35,0.33,0.00324,0.0301
chr5,25529074,25530574,1501,*,9.77,9.92,9.61,0.31,0.00324,0.0301
chr14,14064737,14065487,751,*,8.3,8.53,8.03,0.5,0.00326,0.0302
chr10,122984994,122986796,1803,*,9.7,9.84,9.54,0.29,0.00326,0.0302
chr2,140784394,140785440,1047,*,8.03,8.31,7.7,0.61,0.00327,0.0303
chr7,47131983,47133481,1499,*,7.78,8.06,7.44,0.62,0.00327,0.0303
chr8,124721386,124722613,1228,*,9.23,9.4,9.05,0.35,0.00327,0.0303
chr7,35055595,35057440,1846,*,9.62,9.77,9.46,0.31,0.00327,0.0303
chr19,8802012,8802915,904,*,9.04,9.22,8.85,0.37,0.00327,0.0303
chr10,5194273,5195383,1111,*,8.89,9.07,8.68,0.39,0.00327,0.0303
chrX,166170003,166170976,974,*,8.89,9.07,8.68,0.39,0.00328,0.0303
chrX,50594737,50595303,567,*,7.39,7.68,7.01,0.67,0.00328,0.0303
chr6,53713133,53713917,785,*,7.83,8.09,7.52,0.57,0.00328,0.0303
chr14,56810828,56813093,2266,*,9.52,9.67,9.35,0.33,0.00329,0.0303
chr9,113740633,113742916,2284,*,9.74,9.89,9.57,0.32,0.00329,0.0303
chr1,189921458,189922948,1491,*,9.07,9.24,8.88,0.36,0.00329,0.0303
