num.genes,GO,
1, positive regulation of erythrocyte aggregation [GO:0034120],
1, positive regulation of epithelial to mesenchymal transition [GO:0010718],
1, positive regulation of epithelial cell migration [GO:0010634],
1, positive regulation of endothelial cell migration [GO:0010595],
1, positive regulation of endothelial cell chemotaxis by VEGF-activated vascular endothelial growth factor receptor signaling pathway [GO:0038033],
1, positive regulation of endocytosis [GO:0045807],
1, positive regulation of dopamine metabolic process [GO:0045964],
1, positive regulation of dendritic cell chemotaxis [GO:2000510],
1, positive regulation of dendrite development [GO:1900006],
1, positive regulation of defense response to bacterium [GO:1900426],
1, positive regulation of deadenylation-independent decapping of nuclear-transcribed mRNA [GO:1901835],
1, positive regulation of dUTP diphosphatase activity [GO:1903629],
1, positive regulation of cytokinesis [GO:0032467],
1, positive regulation of circadian sleep/wake cycle non-REM sleep [GO:0046010],
1, positive regulation of chondrocyte differentiation [GO:0032332],
1, positive regulation of cholesterol storage [GO:0010886],
1, positive regulation of chemokinesis [GO:1904367],
1, positive regulation of chemokine secretion [GO:0090197],
1, positive regulation of chemokine biosynthetic process [GO:0045080],
1, positive regulation of chemokine C-C motif ligand 2 secretion [GO:1904209],
1, positive regulation of cellular component movement [GO:0051272],
1, positive regulation of cell-matrix adhesion [GO:0001954],
1, positive regulation of cell division [GO:0051781],
1, positive regulation of cell cycle [GO:0045787],
1, positive regulation of cell cycle G1/S phase transition [GO:1902808],
1, positive regulation of cation channel activity [GO:2001259],
1, positive regulation of cardiac ventricle development [GO:1904414],
1, positive regulation of cardiac muscle cell proliferation [GO:0060045],
1, positive regulation of canonical Wnt signaling pathway [GO:0090263],
1, positive regulation of calcium-mediated signaling [GO:0050850],
1, positive regulation of calcitonin secretion [GO:1904364],
1, positive regulation of cAMP-mediated signaling [GO:0043950],
1, positive regulation of bone mineralization [GO:0030501],
1, positive regulation of blood vessel endothelial cell proliferation involved in sprouting angiogenesis [GO:1903589],
1, positive regulation of blood pressure [GO:0045777],
1, positive regulation of binding [GO:0051099],
1, positive regulation of axon extension [GO:0045773],
1, positive regulation of astrocyte differentiation [GO:0048711],
1, positive regulation of aspartic-type endopeptidase activity involved in amyloid precursor protein catabolic process [GO:1902961],
1, positive regulation of aspartate secretion [GO:1904450],
1, positive regulation of antral ovarian follicle growth [GO:2000388],
1, positive regulation of anion channel activity [GO:1901529],
1, positive regulation of alpha-beta T cell proliferation [GO:0046641],
1, positive regulation of alpha-beta T cell differentiation [GO:0046638],
1, positive regulation of adenylate cyclase-inhibiting opioid receptor signaling pathway [GO:1900731],
1, positive regulation of adenosine receptor signaling pathway [GO:0060168],
1, positive regulation of actin filament polymerization [GO:0030838],
1, positive regulation of actin filament depolymerization [GO:0030836],
1, positive regulation of actin filament bundle assembly [GO:0032233],
1, positive regulation of actin cytoskeleton reorganization [GO:2000251],
1, positive regulation of acetylcholine biosynthetic process [GO:1905923],
1, positive regulation of Wnt signaling pathway planar cell polarity pathway [GO:2000096],
1, positive regulation of Wnt signaling pathway [GO:0030177],
1, positive regulation of T cell migration [GO:2000406],
1, positive regulation of SMAD protein signal transduction [GO:0060391],
1, positive regulation of Rho protein signal transduction [GO:0035025],
1, positive regulation of NF-kappaB transcription factor activity [GO:0051092],
1, positive regulation of MAPK cascade [GO:0043410],
1, positive regulation of MAP kinase activity [GO:0043406],
1, positive regulation of DNA-templated transcription initiation [GO:2000144],
1, positive regulation of DNA-directed DNA polymerase activity [GO:1900264],
1, positive regulation of DNA topoisomerase ATP-hydrolyzing activity [GO:2000373],
1, positive regulation of DNA replication [GO:0045740],
1, positive regulation of DNA demethylation [GO:1901537],
1, positive regulation of CoA-transferase activity [GO:1905920],
1, positive regulation of CREB transcription factor activity [GO:0032793],
1, positive regulation of BMP signaling pathway [GO:0030513],
1, positive regulation of Arp2/3 complex-mediated actin nucleation [GO:2000601],
1, positive regulation of ATPase-coupled calcium transmembrane transporter activity [GO:1901896],
1, positive regulation of ATPase activity [GO:0032781],
1, positive regulation by host of viral transcription [GO:0043923],
1, positive regulation by host of viral genome replication [GO:0044829],
1, platelet-derived growth factor receptor binding [GO:0005161],
1, platelet formation [GO:0030220],
1, platelet dense granule membrane [GO:0031088],
1, platelet alpha granule membrane [GO:0031092],
1, plasma membrane tubulation [GO:0097320],
1, plasma membrane repair [GO:0001778],
1, plasma kallikrein-kinin cascade [GO:0002353],
1, plasma cell differentiation [GO:0002317],
1, planar cell polarity pathway involved in neural tube closure [GO:0090179],
1, pituitary gland development [GO:0021983],
1, pigmentation [GO:0043473],
1, pigment granule maturation [GO:0048757],
1, pigment cell differentiation [GO:0050931],
1, piRNA metabolic process [GO:0034587],
1, piP-body [GO:0071547],
1, photoreceptor inner segment [GO:0001917],
1, photoreceptor cell maintenance [GO:0045494],
1, phosphotyrosine residue binding [GO:0001784],
1, phosphorus-oxygen lyase activity [GO:0016849],
1, phospholipid transporter activity [GO:0005548],
1, phospholipid transfer to membrane [GO:0006649],
1, phospholipase C-inhibiting G protein-coupled receptor signaling pathway [GO:0030845],
1, phospholipase C-activating G protein-coupled receptor signaling pathway [GO:0007200],
1, phospholipase A2 inhibitor activity [GO:0019834],
1, phospholipase A2 activity consuming 12-dioleoylphosphatidylethanolamine [GO:0102568],
1, phospholipase A2 activity [GO:0004623],
1, phospholipase A2 activity consuming 12-dipalmitoylphosphatidylcholine [GO:0102567],
1, phosphatidylserine biosynthetic process [GO:0006659],
1, phosphatidylinositol-mediated signaling [GO:0048015],
1, phosphatidylinositol-45-bisphosphate binding [GO:0005546],
1, phosphatidylinositol-34-bisphosphate binding [GO:0043325],
1, phosphatidylinositol phosphorylation [GO:0046854],
1, phosphatidylinositol phospholipase C activity [GO:0004435],
1, phosphatidylinositol metabolic process [GO:0046488],
1, phosphatidylinositol binding [GO:0035091],
1, phosphatidylinositol 3-kinase complex [GO:0005942],
1, phosphatase binding [GO:0019902],
1, phosphatase activity [GO:0016791],
1, pharyngeal arch artery morphogenesis [GO:0061626],
1, phagosome-lysosome fusion [GO:0090385],
1, phagosome maturation [GO:0090382],
1, phagophore assembly site [GO:0000407],
1, peroxisome [GO:0005777],
1, peroxidase activity [GO:0004601],
1, peripheral nervous system myelin maintenance [GO:0032287],
1, peripheral nervous system development [GO:0007422],
1, peripheral nervous system axon regeneration [GO:0014012],
1, perinuclear endoplasmic reticulum lumen [GO:0099020],
1, perikaryon [GO:0043204],
1, peptidyl-tyrosine autophosphorylation [GO:0038083],
1, peptidyl-serine phosphorylation [GO:0018105],
1, peptidyl-arginine ADP-ribosylation [GO:0018120],
1, peptide hormone binding [GO:0017046],
1, peptide cross-linking via chondroitin 4-sulfate glycosaminoglycan [GO:0019800],
1, peptide cross-linking [GO:0018149],
1, pattern specification process [GO:0007389],
1, parturition [GO:0007567],
1, paraxial mesoderm structural organization [GO:0048352],
1, paraxial mesoderm morphogenesis [GO:0048340],
1, paranodal junction assembly [GO:0030913],
1, parallel fiber to Purkinje cell synapse [GO:0098688],
1, p38MAPK cascade [GO:0038066],
1, oxysterol binding [GO:0008142],
1, oxidoreductase activity acting on paired donors with incorporation or reduction of molecular oxygen NADPH as one donor and incorporation of one atom of oxygen [GO:0016709],
1, ovulation cycle [GO:0042698],
1, outflow tract septum morphogenesis [GO:0003148],
1, other organism cell [GO:0044216],
1, osteoclast differentiation [GO:0030316],
1, osteoclast development [GO:0036035],
1, ossification [GO:0001503],
1, organ growth [GO:0035265],
1, optic cup morphogenesis involved in camera-type eye development [GO:0002072],
1, oncostatin-M-mediated signaling pathway [GO:0038165],
1, oncostatin-M receptor complex [GO:0005900],
1, oncostatin-M receptor activity [GO:0004924],
1, olfactory lobe development [GO:0021988],
1, olfactory bulb development [GO:0021772],
1, odontogenesis of dentin-containing tooth [GO:0042475],
1, nucleotide diphosphatase activity [GO:0004551],
1, nucleotide catabolic process [GO:0009166],
1, nucleoside:sodium symporter activity [GO:0005415],
1, nucleoside transmembrane transporter activity [GO:0005337],
1, nucleoside transmembrane transport [GO:1901642],
1, nucleobase-containing compound metabolic process [GO:0006139],
1, nuclear-transcribed mRNA polyA tail shortening [GO:0000289],
1, nuclear-transcribed mRNA catabolic process deadenylation-independent decay [GO:0031086],
1, nuclear-transcribed mRNA catabolic process deadenylation-dependent decay [GO:0000288],
1, nuclear matrix [GO:0016363],
1, nuclear heterochromatin [GO:0005720],
1, nuclear euchromatin [GO:0005719],
1, nuclear envelope [GO:0005635],
1, nuclear chromatin [GO:0000790],
1, notochord morphogenesis [GO:0048570],
1, notochord formation [GO:0014028],
1, notochord development [GO:0030903],
1, nose development [GO:0043584],
1, norepinephrine metabolic process [GO:0042415],
1, non-membrane spanning protein tyrosine kinase activity [GO:0004715],
1, non-canonical Wnt signaling pathway [GO:0035567],
1, nitrogen compound metabolic process [GO:0006807],
1, nitric-oxide synthase binding [GO:0050998],
1, nitric oxide mediated signal transduction [GO:0007263],
1, nickel cation binding [GO:0016151],
1, neutrophil extravasation [GO:0072672],
1, neutrophil chemotaxis [GO:0030593],
1, neutrophil activation involved in immune response [GO:0002283],
1, neutrophil activation [GO:0042119],
1, neutral amino acid transport [GO:0015804],
1, neurotrophin p75 receptor binding [GO:0005166],
1, neurotrophin TRK receptor signaling pathway [GO:0048011],
1, neurotransmitter:sodium symporter activity [GO:0005328],
1, neuropeptide signaling pathway [GO:0007218],
1, neuronal action potential [GO:0019228],
1, neuron projection terminus [GO:0044306],
1, neuron projection maintenance [GO:1990535],
1, neuron fate commitment [GO:0048663],
1, neuron apoptotic process [GO:0051402],
1, neuromuscular synaptic transmission [GO:0007274],
1, neuromuscular junction [GO:0031594],
1, neurofilament cytoskeleton organization [GO:0060052],
1, neurofibrillary tangle [GO:0097418],
1, neural tube development [GO:0021915],
1, neural plate pattern specification [GO:0060896],
1, neural plate mediolateral regionalization [GO:0021998],
1, neural crest cell migration [GO:0001755],
1, neural crest cell fate commitment [GO:0014034],
1, nerve growth factor signaling pathway [GO:0038180],
1, nerve growth factor binding [GO:0048406],
1, nerve development [GO:0021675],
1, negative regulation of viral transcription [GO:0032897],
1, negative regulation of viral genome replication [GO:0045071],
1, negative regulation of vasoconstriction [GO:0045906],
1, negative regulation of vascular permeability [GO:0043116],
1, negative regulation of type B pancreatic cell proliferation [GO:1904691],
1, negative regulation of type 2 immune response [GO:0002829],
1, negative regulation of tumor necrosis factor secretion [GO:1904468],
1, negative regulation of transposition [GO:0010529],
1, negative regulation of translation [GO:0017148],
1, negative regulation of transcription from RNA polymerase II promoter in response to endoplasmic reticulum stress [GO:1990441],
1, negative regulation of thymocyte apoptotic process [GO:0070244],
1, negative regulation of systemic arterial blood pressure [GO:0003085],
1, negative regulation of substrate adhesion-dependent cell spreading [GO:1900025],
1, negative regulation of stress fiber assembly [GO:0051497],
1, negative regulation of smooth muscle cell proliferation [GO:0048662],
1, negative regulation of smooth muscle cell migration [GO:0014912],
1, negative regulation of small intestine smooth muscle contraction [GO:1904348],
1, negative regulation of sequestering of calcium ion [GO:0051283],
1, negative regulation of ryanodine-sensitive calcium-release channel activity [GO:0060315],
1, negative regulation of ruffle assembly [GO:1900028],
1, negative regulation of response to endoplasmic reticulum stress [GO:1903573],
1, negative regulation of receptor signaling pathway via JAK-STAT [GO:0046426],
1, negative regulation of proteolysis involved in cellular protein catabolic process [GO:1903051],
1, negative regulation of protein secretion [GO:0050709],
1, negative regulation of protein homooligomerization [GO:0032463],
1, negative regulation of protein dephosphorylation [GO:0035308],
1, negative regulation of protein binding [GO:0032091],
1, negative regulation of protein autophosphorylation [GO:0031953],
1, negative regulation of prostaglandin secretion [GO:0032307],
1, negative regulation of programmed necrotic cell death [GO:0062099],
1, negative regulation of polynucleotide adenylyltransferase activity [GO:1904246],
1, negative regulation of planar cell polarity pathway involved in axis elongation [GO:2000041],
1, negative regulation of phosphoprotein phosphatase activity [GO:0032515],
1, negative regulation of phagocytosis [GO:0050765],
1, negative regulation of peptidyl-serine dephosphorylation [GO:1902309],
1, negative regulation of peptidyl-cysteine S-nitrosylation [GO:1902083],
1, negative regulation of peptide secretion [GO:0002792],
1, negative regulation of oxidative stress-induced neuron death [GO:1903204],
1, negative regulation of osteoclast differentiation [GO:0045671],
1, negative regulation of osteoblast proliferation [GO:0033689],
1, negative regulation of ossification [GO:0030279],
1, negative regulation of oligodendrocyte differentiation [GO:0048715],
1, negative regulation of nitric-oxide synthase biosynthetic process [GO:0051771],
1, negative regulation of neuron differentiation [GO:0045665],
1, negative regulation of neurogenesis [GO:0050768],
1, negative regulation of natural killer cell mediated cytotoxicity [GO:0045953],
1, negative regulation of myeloid cell differentiation [GO:0045638],
1, negative regulation of mitotic cell cycle [GO:0045930],
1, negative regulation of mast cell cytokine production [GO:0032764],
1, negative regulation of male germ cell proliferation [GO:2000255],
1, negative regulation of macrophage derived foam cell differentiation [GO:0010745],
1, negative regulation of lymphocyte proliferation [GO:0050672],
1, negative regulation of low-density lipoprotein particle receptor catabolic process [GO:0032804],
1, negative regulation of low-density lipoprotein particle receptor biosynthetic process [GO:0045715],
1, negative regulation of long-term synaptic potentiation [GO:1900272],
1, negative regulation of lipoprotein metabolic process [GO:0050748],
1, negative regulation of lipid transport [GO:0032369],
1, negative regulation of lipid storage [GO:0010888],
1, negative regulation of leucine-tRNA ligase activity [GO:1903634],
1, negative regulation of keratinocyte proliferation [GO:0010839],
1, negative regulation of isotype switching to IgE isotypes [GO:0048294],
1, negative regulation of intrinsic apoptotic signaling pathway in response to DNA damage [GO:1902230],
1, negative regulation of interleukin-2 secretion [GO:1900041],
1, negative regulation of interleukin-2 production [GO:0032703],
1, negative regulation of interleukin-2 biosynthetic process [GO:0045085],
1, negative regulation of interleukin-17 production [GO:0032700],
1, negative regulation of interleukin-12 production [GO:0032695],
1, negative regulation of interleukin-1 beta production [GO:0032691],
1, negative regulation of interleukin-1 alpha secretion [GO:0050712],
1, negative regulation of interferon-gamma secretion [GO:1902714],
1, negative regulation of interferon-gamma production [GO:0032689],
1, negative regulation of integrin activation [GO:0033624],
1, negative regulation of insulin secretion [GO:0046676],
1, negative regulation of inositol phosphate biosynthetic process [GO:0010920],
1, negative regulation of hydrogen peroxide metabolic process [GO:0010727],
1, negative regulation of histone H3-K9 methylation [GO:0051573],
1, negative regulation of high voltage-gated calcium channel activity [GO:1901842],
1, negative regulation of growth [GO:0045926],
1, negative regulation of granulosa cell apoptotic process [GO:1904709],
1, negative regulation of glycolytic process [GO:0045820],
1, negative regulation of gene expression epigenetic [GO:0045814],
1, negative regulation of gamma-aminobutyric acid secretion [GO:0014053],
1, negative regulation of focal adhesion assembly [GO:0051895],
1, negative regulation of flagellated sperm motility [GO:1901318],
1, negative regulation of fibroblast apoptotic process [GO:2000270],
1, negative regulation of extracellular matrix organization [GO:1903054],
1, negative regulation of extracellular matrix disassembly [GO:0010716],
1, negative regulation of erythrocyte differentiation [GO:0045647],
1, negative regulation of epithelial cell apoptotic process [GO:1904036],
1, negative regulation of eosinophil extravasation [GO:2000420],
1, negative regulation of endothelin secretion [GO:1904471],
1, negative regulation of endoplasmic reticulum calcium ion concentration [GO:0032471],
1, negative regulation of ductus arteriosus closure [GO:1904336],
1, negative regulation of dopamine secretion [GO:0033602],
1, negative regulation of development of symbiont involved in interaction with host [GO:0044147],
1, negative regulation of dendritic spine maintenance [GO:1902951],
1, negative regulation of dendritic cell differentiation [GO:2001199],
1, negative regulation of dendrite morphogenesis [GO:0050774],
1, negative regulation of cytokine secretion [GO:0050710],
1, negative regulation of cyclic-nucleotide phosphodiesterase activity [GO:0051344],
1, negative regulation of circadian sleep/wake cycle REM sleep [GO:0042322],
1, negative regulation of cellular senescence [GO:2000773],
1, negative regulation of cellular response to tunicamycin [GO:1905895],
1, negative regulation of cellular response to thapsigargin [GO:1905892],
1, negative regulation of cellular response to oxidative stress [GO:1900408],
1, negative regulation of cellular response to insulin stimulus [GO:1900077],
1, negative regulation of cellular response to hypoxia [GO:1900038],
1, negative regulation of cellular response to heat [GO:1900035],
1, negative regulation of cellular component movement [GO:0051271],
1, negative regulation of cell-substrate adhesion [GO:0010812],
1, negative regulation of cell-matrix adhesion [GO:0001953],
1, negative regulation of cell proliferation involved in contact inhibition [GO:0060244],
1, negative regulation of cell motility [GO:2000146],
1, negative regulation of cell differentiation [GO:0045596],
1, negative regulation of catalytic activity [GO:0043086],
1, negative regulation of cardiac muscle cell apoptotic process [GO:0010667],
1, negative regulation of canonical Wnt signaling pathway involved in controlling type B pancreatic cell proliferation [GO:2000080],
1, negative regulation of calcium-dependent ATPase activity [GO:1903611],
1, negative regulation of calcineurin-NFAT signaling cascade [GO:0070885],
1, negative regulation of branching involved in ureteric bud morphogenesis [GO:0090191],
1, negative regulation of bone resorption [GO:0045779],
1, negative regulation of bone remodeling [GO:0046851],
1, negative regulation of bone development [GO:1903011],
1, negative regulation of blood pressure [GO:0045776],
1, negative regulation of axon regeneration [GO:0048681],
1, negative regulation of axon extension involved in axon guidance [GO:0048843],
1, negative regulation of autophagy [GO:0010507],
1, negative regulation of autophagosome assembly [GO:1902902],
1, negative regulation of angiogenesis [GO:0016525],
1, negative regulation of androgen receptor signaling pathway [GO:0060766],
1, negative regulation of amyloid precursor protein catabolic process [GO:1902992],
1, negative regulation of amyloid fibril formation [GO:1905907],
1, negative regulation of activated T cell proliferation [GO:0046007],
1, negative regulation of Wnt signaling pathway involved in dorsal/ventral axis specification [GO:2000054],
1, negative regulation of Wnt signaling pathway [GO:0030178],
1, negative regulation of T-helper 2 cell differentiation [GO:0045629],
1, negative regulation of T cell receptor signaling pathway [GO:0050860],
1, negative regulation of T cell proliferation [GO:0042130],
1, negative regulation of T cell cytokine production [GO:0002725],
1, negative regulation of T cell anergy [GO:0002668],
1, negative regulation of Rho protein signal transduction [GO:0035024],
1, negative regulation of RNA biosynthetic process [GO:1902679],
1, negative regulation of MAPK cascade [GO:0043409],
1, negative regulation of JUN kinase activity [GO:0043508],
1, negative regulation of GTPase activity [GO:0034260],
1, negative regulation of G2/M transition of mitotic cell cycle [GO:0010972],
1, negative regulation of G1/S transition of mitotic cell cycle [GO:2000134],
1, negative regulation of G protein-coupled receptor signaling pathway [GO:0045744],
1, negative regulation of ERK1 and ERK2 cascade [GO:0070373],
1, negative regulation of DNA catabolic process [GO:1903625],
1, negative regulation of DNA biosynthetic process [GO:2000279],
1, negative regulation of CD40 signaling pathway [GO:2000349],
1, negative regulation of BMP signaling pathway [GO:0030514],
1, negative regulation by host of viral transcription [GO:0043922],
1, negative regulation by host of symbiont molecular function [GO:0052405],
1, natural killer cell proliferation [GO:0001787],
1, natural killer cell activation [GO:0030101],
1, myosin complex [GO:0016459],
1, myoblast fusion involved in skeletal muscle regeneration [GO:0014905],
1, myoblast fusion [GO:0007520],
1, myoblast differentiation [GO:0045445],
1, myeloid dendritic cell activation involved in immune response [GO:0002277],
1, myeloid cell differentiation [GO:0030099],
1, myelination [GO:0042552],
1, myelin sheath adaxonal region [GO:0035749],
1, muscle organ development [GO:0007517],
1, muscle cell cellular homeostasis [GO:0046716],
1, multivesicular body internal vesicle [GO:0097487],
1, multivesicular body membrane [GO:0032585],
1, multivesicular body [GO:0005771],
1, multicellular organismal homeostasis [GO:0048871],
1, multicellular organism growth [GO:0035264],
1, motor neuron axon guidance [GO:0008045],
1, motor activity [GO:0003774],
1, monooxygenase activity [GO:0004497],
1, monocyte differentiation [GO:0030224],
1, molecular function regulator [GO:0098772],
1, modulation of excitatory postsynaptic potential [GO:0098815],
1, modulation of age-related behavioral decline [GO:0090647],
1, modification-dependent protein binding [GO:0140030],
1, mitotic cytokinesis [GO:0000281],
1, mitotic cell cycle arrest [GO:0071850],
1, mitotic cell cycle [GO:0000278],
1, mitochondrial membrane [GO:0031966],
1, mitochondrial matrix [GO:0005759],
1, mitochondrial fission [GO:0000266],
1, mitochondrial calcium ion homeostasis [GO:0051560],
1, mitochondria-associated endoplasmic reticulum membrane [GO:0044233],
1, misfolded protein binding [GO:0051787],
1, microvillus membrane [GO:0031528],
1, microglial cell proliferation [GO:0061518],
1, miRNA mediated inhibition of translation [GO:0035278],
1, methyltransferase activity [GO:0008168],
1, methylation-dependent chromatin silencing [GO:0006346],
1, metaphase plate congression [GO:0051310],
1, metanephric glomerular mesangial cell differentiation [GO:0072254],
1, metalloaminopeptidase activity [GO:0070006],
1, mesodermal cell migration [GO:0008078],
1, mesoderm formation [GO:0001707],
1, mesendoderm development [GO:0048382],
1, mesenchymal cell differentiation [GO:0048762],
1, mesangial cell-matrix adhesion [GO:0035759],
1, membranous septum morphogenesis [GO:0003149],
1, membrane raft assembly [GO:0001765],
1, membrane protein ectodomain proteolysis [GO:0006509],
1, membrane depolarization [GO:0051899],
1, melatonin receptor activity [GO:0008502],
1, melanocyte proliferation [GO:0097325],
1, melanocyte apoptotic process [GO:1902362],
1, melanin biosynthetic process [GO:0042438],
1, mechanoreceptor differentiation [GO:0042490],
1, mature conventional dendritic cell differentiation [GO:0097029],
1, mature B cell differentiation involved in immune response [GO:0002313],
1, maternal process involved in female pregnancy [GO:0060135],
1, mast cell activation [GO:0045576],
1, mammary gland epithelial cell proliferation [GO:0033598],
1, mammary gland development [GO:0030879],
1, male meiosis I [GO:0007141],
1, maintenance of presynaptic active zone structure [GO:0048790],
1, maintenance of permeability of blood-brain barrier [GO:0035633],
1, maintenance of gastrointestinal epithelium [GO:0030277],
1, macrophage differentiation [GO:0030225],
1, macrophage activation involved in immune response [GO:0002281],
1, mRNA transport [GO:0051028],
1, mRNA splicing via spliceosome [GO:0000398],
1, mRNA catabolic process [GO:0006402],
1, mRNA binding [GO:0003729],
1,"-UTR binding [GO:0003730]""",
1,"-UTR AU-rich region binding [GO:0035925]""",
1, lysosome localization [GO:0032418],
1, lysosomal transport [GO:0007041],
1, lysosomal protein catabolic process [GO:1905146],
1, lysosomal matrix [GO:1990836],
1, lysophospholipase activity [GO:0004622],
1, lysophosphatidic acid phosphatase activity [GO:0052642],
1, lysine-acetylated histone binding [GO:0070577],
1, lymphocyte differentiation [GO:0030098],
1, lymphocyte aggregation [GO:0071593],
1, lymph vessel development [GO:0001945],
1, lung alveolus development [GO:0048286],
1, low-density lipoprotein particle receptor binding [GO:0050750],
1, low-density lipoprotein particle receptor activity [GO:0005041],
1, low-density lipoprotein particle mediated signaling [GO:0055096],
1, low-density lipoprotein particle binding [GO:0030169],
1, low-density lipoprotein particle [GO:0034362],
1, long-term synaptic depression [GO:0060292],
1, long-term memory [GO:0007616],
1, long-chain fatty-acyl-CoA biosynthetic process [GO:0035338],
1, long-chain fatty acid-CoA ligase activity [GO:0004467],
1, long-chain fatty acid metabolic process [GO:0001676],
1, locomotory behavior [GO:0007626],
1, liver regeneration [GO:0097421],
1, lipoprotein transport [GO:0042953],
1, lipoprotein particle receptor activity [GO:0030228],
1, lipoprotein particle binding [GO:0071813],
1, lipoprotein lipase activity [GO:0004465],
1, lipopolysaccharide binding [GO:0001530],
1, lipid transporter activity [GO:0005319],
1, lipid homeostasis [GO:0055088],
1, lipid catabolic process [GO:0016042],
1, lipid biosynthetic process [GO:0008610],
1, lipase activity [GO:0016298],
1, linoleic acid metabolic process [GO:0043651],
1, ligand-gated ion channel activity [GO:0015276],
1, leukotriene biosynthetic process [GO:0019370],
1, leukocyte differentiation [GO:0002521],
1, leukocyte chemotaxis involved in inflammatory response [GO:0002232],
1, leukocyte chemotaxis [GO:0030595],
1, leukocyte activation involved in immune response [GO:0002366],
1, leucine transport [GO:0015820],
1, lens fiber cell differentiation [GO:0070306],
1, lens development in camera-type eye [GO:0002088],
1, learning [GO:0007612],
1, leading edge membrane [GO:0031256],
1, leading edge cell differentiation [GO:0035026],
1, lateral mesoderm development [GO:0048368],
1, lamin binding [GO:0005521],
1, lamellipodium assembly [GO:0030032],
1, lactose binding [GO:0030395],
1, lactate catabolic process [GO:1903457],
1, kidney morphogenesis [GO:0060993],
1, isopeptide cross-linking via N6-L-isoglutamyl-L-lysine [GO:0018153],
1, iron-sulfur cluster binding [GO:0051536],
1, iron ion homeostasis [GO:0055072],
1, iron ion binding [GO:0005506],
1, ion transport [GO:0006811],
1, ion transmembrane transporter activity [GO:0015075],
1, invadopodium membrane [GO:0071438],
1, intronic transcription regulatory region sequence-specific DNA binding [GO:0001161],
1, intrinsic apoptotic signaling pathway in response to endoplasmic reticulum stress [GO:0070059],
1, intrinsic apoptotic signaling pathway in response to DNA damage by p53 class mediator [GO:0042771],
1, intrinsic apoptotic signaling pathway by p53 class mediator [GO:0072332],
1, intramembranous ossification [GO:0001957],
1, intracellular vesicle [GO:0097708],
1, intracellular calcium activated chloride channel activity [GO:0005229],
1, intestinal absorption [GO:0050892],
1, interstitial matrix [GO:0005614],
1, intermediate filament cytoskeleton [GO:0045111],
1, interleukin-3-mediated signaling pathway [GO:0038156],
1, interleukin-27 receptor binding [GO:0045523],
1, interleukin-15-mediated signaling pathway [GO:0035723],
1, interleukin-15 receptor binding [GO:0016170],
1, interleukin-1-mediated signaling pathway [GO:0070498],
1, interleukin-1 type II blocking receptor activity [GO:0004910],
1, interferon-gamma production [GO:0032609],
1, interferon-gamma biosynthetic process [GO:0042095],
1, integrin complex [GO:0008305],
1, integrin alphav-beta3 complex [GO:0034683],
1, integrin alpha9-beta1 complex [GO:0034679],
1, integral component of synaptic membrane [GO:0099699],
1, integral component of spine apparatus membrane [GO:0099065],
1, integral component of presynaptic membrane [GO:0099056],
1, integral component of postsynaptic membrane [GO:0099055],
1, integral component of autophagosome membrane [GO:0097637],
1, insulin-like growth factor receptor signaling pathway [GO:0048009],
1, insulin-like growth factor receptor binding [GO:0005159],
1, insulin secretion [GO:0030073],
1, insulin receptor signaling pathway [GO:0008286],
1, inositol trisphosphate biosynthetic process [GO:0032959],
1, inner ear development [GO:0048839],
1, inhibitory synapse [GO:0060077],
1, inhibitory extracellular ligand-gated ion channel activity [GO:0005237],
1, induction of positive chemotaxis [GO:0050930],
1, inclusion body [GO:0016234],
1, inactivation of X chromosome by DNA methylation [GO:0060821],
1, immunological synapse [GO:0001772],
1, immunoglobulin mediated immune response [GO:0016064],
1, immunoglobulin binding [GO:0019865],
1, immune complex clearance [GO:0002434],
1, icosanoid biosynthetic process [GO:0046456],
1, hydrolase activity acting on glycosyl bonds [GO:0016798],
1, hydrolase activity acting on ester bonds [GO:0016788],
1, hydrolase activity acting on carbon-nitrogen but not peptide bonds in linear amides [GO:0016811],
1, hydrogen peroxide catabolic process [GO:0042744],
1, hyaluronan metabolic process [GO:0030212],
1, humoral immune response [GO:0006959],
1, hormone-mediated signaling pathway [GO:0009755],
1, hormone transport [GO:0009914],
1, hormone metabolic process [GO:0042445],
1, hormone binding [GO:0042562],
1, homophilic cell adhesion via plasma membrane adhesion molecules [GO:0007156],
1, histone deacetylase binding [GO:0042826],
1, histone binding [GO:0042393],
1, hindlimb morphogenesis [GO:0035137],
1, heterochromatin [GO:0000792],
1, hepatocyte differentiation [GO:0070365],
1, heparan sulfate proteoglycan binding [GO:0043395],
1, hemi-methylated DNA-binding [GO:0044729],
1, heme binding [GO:0020037],
1, hematopoietic stem cell proliferation [GO:0071425],
1, hematopoietic stem cell differentiation [GO:0060218],
1, heat shock protein binding [GO:0031072],
1, heart process [GO:0003015],
1, heart morphogenesis [GO:0003007],
1, heart formation [GO:0060914],
1, head development [GO:0060322],
1, guanyl-nucleotide exchange factor activity [GO:0005085],
1, guanyl nucleotide binding [GO:0019001],
1, guanine metabolic process [GO:0046098],
1, guanine catabolic process [GO:0006147],
1, growth plate cartilage development [GO:0003417],
1, growth plate cartilage chondrocyte morphogenesis [GO:0003429],
1, growth plate cartilage chondrocyte differentiation [GO:0003418],
1, growth hormone receptor complex [GO:0070195],
1, growth hormone receptor binding [GO:0005131],
1, growth hormone receptor activity [GO:0004903],
